Date,jp_w_i_delta,uk_w_i_delta,au_w_i_delta,de_w_i_delta,ca_w_i_delta,nz_w_i_delta,usdjpy_w_delta,usdcad_w_delta,nzdusd_w_delta,gbpusd_w_delta,eurusd_w_delta,audusd_w_delta
21-Dec-14,0.023,-0.031,0.034,-0.001,-0.101,0.04,-0.09,-0.016,0.006,0.0228,0.0173,0.0028
14-Dec-14,0.047,-0.042,-0.083,0.032,-0.055,-0.025,-0.91,-0.003,-0.001,0.0076,0.0052,0.0026
7-Dec-14,0.026,0.209,0.144,0.157,0.201,0.105,-0.7,-0.002,0.003,0.0088,0.0234,0.0101
30-Nov-14,-0.002,-0.091,0.004,-0.081,-0.11,0.06,2.62,-0.014,-0.007,-0.0137,-0.0176,0.0081
23-Nov-14,0.04,0.122,0.234,0.069,0.16,0.155,-2.78,-0.002,0.014,0.0066,0.0166,0.0184
16-Nov-14,0.017,0.09,0.047,0.02,0.026,0.03,-0.83,-0.018,0.003,0.0006,-0.0062,0.016
9-Nov-14,-0.006,0.074,0.024,0.034,-0.007,-0.015,-1.53,0.006,0.002,0.0015,0.0134,0.0077
2-Nov-14,-0.013,0.037,-0.072,0.016,0.021,-0.075,-1.74,0.004,-0.015,0.0204,-0.007,-0.0112
26-Oct-14,0.007,-0.02,-0.01,0.047,-0.034,0.005,-2.21,-0.006,0.003,0.0124,0.0071,0.0163
19-Oct-14,0.004,-0.03,-0.042,-0.023,-0.062,-0.025,-4.17,-0.003,0.006,0.0093,0.0146,-0.0003
12-Oct-14,0.028,0.025,0.103,0.028,0.058,0.11,-1.28,0.005,0.007,0.0004,0.0092,-0.0052
5-Oct-14,0.02,0.17,0.132,0.039,0.085,0.03,0.79,-0.008,-0.011,-0.0017,-0.0135,-0.006
28-Sep-14,-0.001,0.065,0.029,0.036,0.068,0.015,2.1,0.004,-0.005,-0.0114,-0.0111,-0.0008
21-Sep-14,0.043,0.085,0.236,0.076,0.085,0.16,-0.49,-0.009,0.01,0.0283,0.0168,0.009
14-Sep-14,0.012,-0.007,-0.088,0.042,-0.006,-0.025,-0.23,-0.019,0.026,0.0041,0.0144,0.0161
7-Sep-14,-0.034,-0.071,-0.171,-0.152,-0.122,-0.075,-1.72,0.013,0.003,-0.002,0.0136,0.0113
31-Aug-14,-0.045,-0.098,-0.18,-0.046,-0.123,-0.13,-2.23,-0.021,0.018,0.0059,-0.0014,0.034
24-Aug-14,0.017,0.038,0.184,0.099,0.079,0.185,-1.02,0,0.003,0.0272,0.0182,-0.0041
17-Aug-14,-0.007,-0.055,-0.085,-0.019,-0.056,-0.095,-0.14,0.007,0.005,-0.0028,0.011,-0.0023
10-Aug-14,0.006,0.108,-0.075,0.085,0.046,0.005,-1.58,-0.005,0.007,0.0126,0.0156,0.0006
3-Aug-14,0.024,0.103,0.217,0.087,0.053,0.125,-0.3,0.008,-0.002,0.0076,0.0012,-0.0042
27-Jul-14,-0.004,0.002,-0.086,0.006,-0.002,-0.045,0.57,-0.006,0.006,0.0048,0.002,0.0032
20-Jul-14,0.009,0.017,-0.084,0.014,0.049,0.07,-0.79,-0.01,0.004,0.0153,0.0001,0.0084
13-Jul-14,-0.003,0.02,0.057,0.044,0.05,0.12,-0.51,-0.008,0.015,0.0114,0.0092,-0.0005
6-Jul-14,0.029,0.156,0.163,0.062,0.116,0.06,0.05,0,0.011,0.0037,0.0085,0.0002
29-Jun-14,-0.007,-0.114,-0.056,-0.003,-0.081,-0.075,0.74,-0.008,-0.007,0.0035,-0.0013,-0.0028
22-Jun-14,0.027,0.127,0.148,0.086,0.045,0.03,-0.74,0.001,0.004,-0.0125,0.0053,0.006
15-Jun-14,0.018,-0.022,0.112,0.022,0.017,0.04,0.7,0.009,-0.008,-0.0023,-0.005,-0.0036
8-Jun-14,-0.005,-0.089,-0.004,-0.014,0.006,-0.115,-0.01,0.01,-0.003,-0.0047,-0.0057,0.0014
1-Jun-14,-0.024,-0.093,-0.109,0,-0.073,-0.11,0.41,0.008,-0.016,-0.0162,0.01,-0.0069
25-May-14,0.015,0.07,0.131,0.055,0.061,0.075,-0.7,-0.009,0,-0.0051,-0.0011,-0.0022
18-May-14,-0.004,-0.07,-0.09,-0.076,-0.043,-0.055,0.19,0.002,0.004,0.008,0.0003,-0.008
11-May-14,0.02,0.123,0.103,0.123,0.1,-0.02,-0.45,0,0.009,-0.0016,0.0061,0.0133
4-May-14,0.004,-0.045,0.087,-0.007,-0.012,0.145,0.34,0.004,-0.001,0.0035,0.0065,0
27-Apr-14,0.013,-0.007,0.058,0.031,0.057,0.095,0.33,0.008,0.006,0.0015,0.011,-0.0088
20-Apr-14,-0.021,0.035,-0.016,0.032,0.036,0.02,-0.02,0.007,-0.009,-0.0061,-0.0037,-0.0001
13-Apr-14,0.004,-0.061,0.067,-0.009,-0.044,0.075,0.25,-0.002,0.001,0.0002,-0.0018,0.0057
6-Apr-14,0.04,0.075,0.142,0.051,0.092,0.06,-0.81,-0.004,0.01,-0.0074,0.007,0.0065
30-Mar-14,-0.016,0.04,-0.082,-0.006,-0.049,-0.07,1.67,0,-0.009,-0.0153,-0.0182,-0.0105
23-Mar-14,-0.03,0.021,0.074,0.082,0.041,0.045,-0.47,0.008,0.006,0.0058,0.005,-0.0044
16-Mar-14,0.026,-0.084,-0.089,-0.086,-0.09,-0.1,-0.54,0.016,-0.013,-0.0152,0.0041,-0.0166
9-Mar-14,0.001,0.129,0.116,0.106,0.127,0.105,-0.91,-0.012,0,0.016,0.0121,-0.0053
2-Mar-14,-0.041,-0.07,-0.15,-0.026,-0.098,-0.07,1.92,-0.002,-0.007,0.0066,-0.0037,0.0044
23-Feb-14,0.015,0.066,0.175,0.04,-0.013,0.03,-1.47,-0.002,-0.008,0.0033,-0.0076,-0.0145
16-Feb-14,-0.005,0.011,-0.064,0.02,0.056,0.01,0.72,0.005,-0.011,-0.0128,-0.0062,0.0049
9-Feb-14,0.025,-0.085,-0.01,-0.026,-0.061,-0.03,-0.73,-0.013,0.009,0.0129,-0.0047,0.0056
2-Feb-14,0.004,-0.004,-0.098,-0.002,-0.069,0,0.54,0.005,-0.008,-0.0334,-0.0058,-0.0075
26-Jan-14,0.008,0.067,0.068,-0.004,0.063,0.02,-0.31,0.01,-0.021,0.0024,-0.0148,-0.0202
19-Jan-14,0.046,0.056,0.009,0.1,0.108,0.02,0.27,-0.004,0.012,0.0047,0.0191,-0.0073
12-Jan-14,0.023,0.046,0.161,0.091,0.052,0.105,2.01,-0.013,0.005,-0.0059,-0.0137,0.0099
5-Jan-14,0.033,0.149,0.07,0.098,0.19,0.02,-0.16,-0.007,0.004,0.0058,0.0129,0.0214
29-Dec-13,-0.024,0.043,-0.063,0.007,0.038,-0.005,0.71,-0.026,-0.003,-0.0065,-0.0082,-0.0049
22-Dec-13,-0.023,-0.132,0.003,-0.085,-0.114,0.01,0.31,0.007,-0.013,0.0064,0.0154,-0.0078
15-Dec-13,0,-0.041,0.055,-0.038,-0.01,0.11,-1.09,-0.007,0.006,-0.0145,-0.007,0.0052
8-Dec-13,-0.015,-0.007,0.105,0.009,0.028,-0.055,-0.86,-0.005,0.006,-0.0037,0.0071,0.0041
1-Dec-13,-0.063,-0.122,-0.205,-0.147,-0.142,-0.015,-0.31,0.005,0.002,0.005,-0.0038,0.0141
24-Nov-13,0.024,0.024,0.12,0.059,0.024,-0.005,-0.47,-0.002,-0.016,0.0018,-0.0114,0.0009
17-Nov-13,0,-0.043,-0.148,-0.04,-0.014,-0.06,-1.16,-0.01,0.007,-0.0141,-0.0033,0.0059
10-Nov-13,-0.039,0.017,-0.075,0.054,0.049,-0.035,-1.09,-0.007,0.015,-0.0105,-0.0062,0.0199
3-Nov-13,0.001,-0.114,-0.06,-0.07,-0.113,-0.135,-1.11,0.004,-0.009,-0.0103,-0.0124,0.0015
