Date,Open_Close_uk_b_w,Open_Close_au_b_w,Open_Close_jp_b_w,Open_Close_us_b_w,Open_Close_cn_b_w,Open_Close_de_b_w,Open_Close_ca_b_w,O_C_audusd,O_C_eurusd,O_C_gbpusd,O_C_usdjpy,O_C_usdcad,O_C_gbpjpy,O_C_audnzd
12/4/2009,0.092,0.202,0.057,0.18,0.01,0.088,0.16,-0.0032,0.0156,0.0054,-3.95,0.0024,-6.04,-0.0006
12/11/2009,-0.163,-0.131,-0.039,-0.247,0.06,-0.069,-0.093,0.0035,0.0256,0.0207,1.2,-0.004,3.84,0.0185
12/18/2009,-0.146,-0.058,0.007,-0.094,0,0.02,-0.083,0.0205,0.0278,0.0062,-1.2,-0.0061,-1.4,0.006
12/25/2009,0.084,0.17,0.052,-0.011,-0.01,0.062,-0.04,0.0054,-0.0075,0.0169,-0.824,0.0177,-0.08,-0.0032
1/1/2010,-0.197,-0.19,-0.044,-0.219,-0.02,-0.178,-0.161,-0.0124,0.0041,-0.0216,-1.47,-0.005,-4.34,0.0166
1/8/2010,-0.02,-0.018,-0.015,0.01,-0.01,-0.065,-0.014,-0.0254,-0.0073,0.0109,0.264,0.0169,1.43,-0.0065
1/15/2010,-0.024,0.032,-0.07,0.049,0,0.026,0.019,0.0052,0.0027,-0.0203,1.81,0.0018,1.06,0.0036
1/22/2010,0.125,0.073,0.035,0.169,-0.02,0.118,0.105,0.02,0.0214,0.0157,1.08,-0.0281,3.17,-0.0172
1/29/2010,0.025,0.107,0,0.094,0.03,0.045,0.116,0.0184,0.0289,0.0121,-0.32,-0.0139,0.57,0.0056
2/5/2010,0.015,0.044,0.005,0.029,0.05,0.019,0.036,0.0147,0.0185,0.0304,0.97,-0.0029,4.26,0.001
2/12/2010,0.013,-0.02,-0.049,0.087,0.02,0.055,0.011,-0.0198,0.0025,-0.0103,-0.78,0.0196,-2.16,-0.014
2/26/2010,-0.158,-0.149,0.039,-0.116,0.02,-0.078,-0.09,0.0046,-0.0019,0.0221,2.66,-0.0129,6.08,0.0002
3/5/2010,0.243,0.148,0.035,0.195,0.01,0.179,0.115,-0.0101,-0.0003,0.0013,-1.34,0.0232,-1.93,-0.022
3/12/2010,0.009,-0.05,-0.01,-0.065,0.06,-0.042,-0.069,-0.0055,-0.0125,-0.0053,-0.14,0.008,-0.7,-0.0076
3/19/2010,-0.033,-0.15,-0.034,0.008,-0.09,-0.016,-0.059,0.002,0.0232,0.0165,0.06,0,1.59,0.0083
3/26/2010,0.144,-0.035,-0.021,0.008,0.07,0.056,0.053,0.0102,0.0109,0.0083,-2.039,-0.0105,-2.29,0.0084
4/2/2010,-0.081,-0.078,-0.015,-0.166,-0.04,-0.036,-0.083,-0.0145,-0.003,-0.0243,-2.16,0.0145,-5.54,-0.0141
4/9/2010,0.12,-0.048,0.021,0.015,-0.05,0.069,0.003,-0.0139,-0.0007,-0.0103,1.49,0.0059,1.31,0.0142
4/16/2010,-0.125,-0.03,-0.026,0.076,-0.04,-0.063,-0.074,0.0121,0.0124,0.0082,0.93,-0.0082,2.2,-0.0062
4/23/2010,0.09,-0.022,0.04,0.132,0.02,0.094,-0.018,-0.0069,0.0091,-0.0086,-1.97,0.0162,-3.82,0.0016
4/30/2010,-0.06,-0.018,0.03,-0.045,0.06,0.01,-0.018,0.0019,0.0052,0.0116,0.24,-0.0187,1.47,0.0119
5/7/2010,0.189,0.129,0.03,0.133,0.04,0.047,0.033,0.0351,0.0581,0.0511,2.35,-0.0265,8.29,0.0092
5/14/2010,0.077,0.234,0.006,0.266,0.02,0.224,0.164,0.0133,0.0577,0.0307,0.19,-0.0038,3.11,-0.01
5/21/2010,0.089,-0.014,-0.021,0.133,0.06,0.059,0.154,0.054,-0.0222,0.0065,2.35,-0.0239,4,0.0208
5/28/2010,0.183,0.063,0.06,0.255,0.05,0.156,0.086,-0.0158,0.0274,0.0013,-0.87,0.0079,-1.14,-0.0159
6/4/2010,-0.02,-0.03,-0.014,-0.114,-0.03,-0.004,0.053,0.0225,0.0315,-0.0021,-0.91,-0.0107,-1.52,0.0064
6/11/2010,0.068,-0.062,-0.016,0.064,-0.04,0.092,0.024,-0.0276,-0.0158,-0.0124,0.18,0.0287,-0.87,-0.009
6/18/2010,0.05,-0.11,0.038,0.012,-0.03,0.002,-0.114,-0.0202,-0.0271,-0.0269,1.08,0.0125,-0.85,0.0002
6/25/2010,-0.059,0.038,0.031,0.072,-0.08,-0.152,0.121,0.0069,0.006,-0.0201,1.21,-0.0154,0.02,0.0144
7/2/2010,0.149,0.147,0.056,0.184,0,0.14,0.171,0.0328,-0.0183,-0.015,1.55,-0.0271,1.01,0.0118
7/9/2010,0.021,0.151,0.047,0.111,0.09,0.028,0.089,-0.0363,-0.0085,0.0129,-0.87,0.0292,-0.2,-0.0129
7/16/2010,0.01,-0.007,-0.061,-0.086,0.03,-0.063,-0.152,0.0085,-0.0285,-0.0236,2.12,-0.0256,1.15,0.0069
7/23/2010,0.011,-0.012,0.069,0.104,0.01,0.027,0.043,-0.029,-0.0004,-0.0128,-0.78,0.0216,-2.33,-0.0061
7/30/2010,-0.11,-0.084,0.02,-0.044,-0.02,-0.073,-0.055,-0.009,-0.0153,-0.0279,1.12,0.0084,-0.68,-0.0187
8/6/2010,0.117,0.003,0.001,0.082,-0.03,0.069,0.111,-0.0122,-0.0219,-0.0215,0.93,0.0023,-0.35,-0.0129
8/13/2010,0.099,0.026,0.01,0.11,0,0.153,0.036,0.026,0.0532,0.0396,-0.817,-0.0152,2.11,-0.0042
8/20/2010,0.098,0.041,0.074,0.127,0.02,0.12,0.09,-0.0005,0.0055,0.0058,0.657,-0.0062,1.5,0.005
8/27/2010,0.166,0.072,0.055,0.008,0.01,0.113,0.035,-0.0118,-0.0057,0.0008,0.376,-0.002,0.67,0.0042
9/3/2010,0.073,0.143,-0.074,-0.023,0.01,0.079,0.051,-0.0152,-0.0131,0.0084,1.023,0.0114,2.28,-0.0059
9/10/2010,-0.108,0.039,-0.138,-0.11,0.02,-0.153,-0.084,-0.0107,0.0218,0.0088,0.178,0.0023,1.01,-0.0049
9/17/2010,-0.136,-0.057,-0.014,-0.145,-0.03,-0.044,-0.027,-0.007,-0.0347,-0.0265,-1.651,0.0013,-4.8,-0.0197
9/24/2010,-0.002,-0.077,0.099,0.081,-0.03,0,0.074,-0.0205,-0.0438,-0.0166,1.542,0.0091,0.99,-0.0095
10/1/2010,0.066,0.054,0.073,0.12,-0.03,0.109,0.073,-0.0121,-0.0307,0.0004,1.083,0.0047,1.76,-0.0067
10/8/2010,0.07,0.041,0.042,0.025,-0.01,0.055,0.057,-0.012,-0.0156,-0.0157,1.47,0.0079,1.04,-0.0009
10/15/2010,0.092,0.074,0.092,0.107,0,0.026,0.064,-0.0005,0.0028,-0.0036,0.125,0.0004,-0.09,-0.0064
10/22/2010,-0.067,-0.077,-0.012,-0.221,-0.07,-0.109,-0.107,0.0074,0.002,0.0297,0.083,-0.0137,2.56,-0.0008
10/29/2010,-0.001,-0.005,-0.011,-0.032,-0.25,-0.091,0.036,0.0014,0.0005,-0.0376,0.992,0.0063,-1.46,0.0307
11/5/2010,-0.122,-0.063,-0.043,-0.081,-0.04,-0.056,-0.074,-0.0309,-0.006,-0.014,-0.904,0.0182,-2.59,0.0199
11/12/2010,0.092,-0.084,0.003,0.048,-0.12,0.1,-0.047,0.0295,0.0363,0.0073,-1.203,-0.0114,-1.35,0.0069
11/19/2010,-0.233,-0.057,-0.067,-0.217,-0.08,-0.095,-0.155,0.0007,0.001,0.0144,-1.036,-0.0046,-0.47,0.009
11/26/2010,-0.147,-0.104,-0.068,0.016,0.11,-0.143,-0.084,0.0243,0.0496,0.0412,-0.666,-0.0048,2.39,-0.0034
12/3/2010,0.026,0.017,-0.124,-0.024,-0.13,-0.006,0.03,-0.0257,-0.0141,-0.0177,1.513,0.0148,0.9,-0.0081
12/10/2010,-0.039,-0.022,-0.02,-0.18,0.13,-0.115,-0.058,0.0067,0.0182,-0.0033,-1.237,-0.0056,-2.22,-0.0156
12/17/2010,-0.102,-0.096,0.01,-0.331,0.01,-0.109,-0.154,-0.0044,0.0017,0.0265,0.013,-0.0041,2.24,-0.02
12/24/2010,-0.036,0.059,0.004,0.036,0.03,-0.036,0.138,-0.0172,0.0052,0.0076,1.112,0.0053,2.34,-0.005
12/31/2010,0.032,-0.152,0.04,-0.105,0.01,-0.002,0.004,-0.0213,-0.0273,-0.0169,1.747,0.0102,1.33,0.0282
1/7/2011,0.113,0.14,0.033,0.119,-0.04,0.031,0.05,0.0257,0.0434,-0.0013,-2.13,0.0016,-3.29,0.0016
1/14/2011,-0.116,-0.077,-0.077,0.049,0.02,0.103,-0.07,0.0056,-0.0491,-0.033,0.26,0.0022,-2.34,0.0124
1/21/2011,-0.097,0.041,0,-0.019,-0.05,-0.16,-0.081,0.0005,-0.0252,-0.013,0.305,-0.0058,-0.62,-0.0181
1/28/2011,-0.08,-0.129,-0.013,-0.128,-0.05,-0.131,-0.085,-0.0051,-0.0004,0.0132,0.55,-0.0075,1.97,0.0207
2/4/2011,0.043,0.126,-0.006,0.085,-0.01,0.03,0.082,-0.025,-0.0004,-0.0278,-0.055,0.014,-2.38,-0.0286
2/11/2011,-0.168,-0.224,-0.065,-0.295,-0.01,-0.102,-0.207,0.0116,0.0018,0.0089,-1.165,-0.0008,-1.16,-1.00E-04
2/18/2011,0.026,0.045,-0.005,0.024,-0.02,-0.022,0.01,-0.0137,-0.0165,-0.0251,0.285,0.0006,-1.6,-0.0034
2/25/2011,0.065,0.05,0.006,0.057,0.09,0.044,0.013,-0.0035,-0.0059,0.0133,1.445,0.0074,3.43,-0.0282
3/4/2011,0.188,0.117,0.056,0.103,0.08,0.107,0.102,0.0016,-0.0239,-0.0185,-0.645,0.0049,-2.57,-0.0236
3/11/2011,-0.023,-0.092,-0.052,-0.067,0.05,-0.129,-0.057,0.0015,0.0091,0.0194,0.38,-0.0013,2.23,0.0199
3/18/2011,0.085,0.069,0.05,0.134,0,0.052,0.086,0.0139,-0.0228,-0.0149,0.915,-0.0105,0.25,0.003
3/25/2011,0.131,0.038,0.04,0.111,0.05,0.022,0.104,-0.0304,0.0098,0.019,-0.465,0.004,0.76,0.0052
4/1/2011,-0.104,-0.031,-0.01,-0.138,-0.01,-0.076,-0.069,-0.0142,-0.0191,-0.0101,-2.665,0.0182,-5.15,0.0137
4/8/2011,-0.09,-0.059,-0.06,0.016,0.01,-0.078,-0.1,-0.0178,-0.0254,-0.0274,-0.605,0.0089,-3.28,0.001
4/15/2011,-0.097,-0.236,-0.04,-0.16,0.02,-0.114,-0.046,-0.001,0.0024,0.0057,1.805,-0.0036,3.42,0.0262
4/22/2011,0.209,-0.019,0.034,0.186,0.04,0.113,0.162,-0.0187,-0.0144,-0.0195,1.28,0.0048,0.52,-0.0086
4/29/2011,0.075,0.063,0.071,-0.026,0,0.115,-0.023,-0.0213,-0.0248,-0.0187,0.635,0.008,-0.5,-0.0206
5/6/2011,0.097,0.038,0.01,0.089,0.02,0.021,0.083,0.0271,0.0509,0.0347,0.485,-0.0216,3.61,0.0021
5/13/2011,0.1,-0.014,0.064,0.155,0.01,0.075,0.023,0.0134,0.0248,0.0187,-0.005,-0.0023,1.42,0.0097
5/20/2011,0.017,0.012,0.02,-0.012,0,0.096,0.001,-0.0091,-0.0083,-0.0054,-0.835,-0.0045,-1.8,0.0032
5/27/2011,0.024,-0.11,-0.004,0.017,0,0.024,0.028,-0.0062,-0.0186,-0.0282,0.965,-0.0021,-0.74,0.0268
6/3/2011,0.02,0.285,0,0.033,0,0.08,0.035,-1.00E-04,-0.0327,0.006,0.52,-0.0005,1.36,-0.0036
6/10/2011,0.006,-0.104,-0.01,0.089,0.01,-0.07,0.079,0.0195,0.028,0.0194,-0.06,-0.0027,1.47,0.0296
6/17/2011,0.061,-0.038,-0.015,0.029,-0.03,0.09,-0.017,-0.0098,0.002,0.0044,0.27,-0.001,0.74,-0.0109
6/24/2011,0.011,0.05,0.005,0.049,-0.1,0.003,0.064,0.0111,0.0089,0.0205,-0.31,-0.0081,1.17,0.0083
7/1/2011,0.058,0.036,0.02,0.029,0.05,0.113,0.05,-0.0284,-0.0337,-0.0112,-0.455,0.0294,-1.47,0.0038
7/8/2011,-0.259,-0.254,-0.035,-0.317,0.01,-0.202,-0.262,0.0017,0.0274,0.0002,0.21,-0.0042,0.35,0.0016
7/15/2011,0.185,0.031,-0.021,0.135,-0.02,0.197,0.174,0.0065,0.0063,-0.0106,1.425,0.0076,1.44,0.0156
7/22/2011,0.088,0.184,0.052,0.04,-0.04,0.132,0.052,-0.0217,-0.0236,-0.0186,0.555,0.0065,-0.47,0
7/29/2011,-0.049,-0.054,-0.032,-0.087,-0.17,-0.136,-0.073,-0.0149,0,-0.0094,1.45,-0.0072,1.71,-0.0115
8/5/2011,0.225,0.14,0.009,0.159,-0.01,0.291,0.148,0.0553,0.0081,0.0008,-1,-0.027,-1.58,0.0041
8/12/2011,0.214,0.375,0.059,0.234,-0.08,0.202,0.147,0.006,0.012,0.0183,1.485,-0.0049,3.81,-1.00E-04
8/19/2011,0.24,0.076,-0.041,0.26,0.15,0.093,0.095,-0.0038,-0.0136,-0.0175,0.355,-0.002,-0.73,-0.0039
8/26/2011,0.156,0.225,0.054,0.198,0,0.214,0.166,-0.0186,-0.0126,0.0108,0.14,0.01,1.04,0.009
9/2/2011,-0.132,-0.136,-0.065,-0.073,-0.01,-0.054,-0.076,-0.0069,0.0287,0.0122,-0.125,-0.0039,0.86,-0.0008
9/9/2011,0.06,0.012,0.008,0.229,0,0.143,0.108,0.0155,0.0476,0.0272,-0.64,-0.0109,1.08,-0.0126
9/16/2011,0.127,0.037,0.036,0.033,-0.01,0.238,0.19,0.0051,-0.023,0.0043,0.72,0.0193,1.47,0.0127
9/23/2011,-0.22,-0.08,-0.014,-0.18,-0.02,-0.081,-0.201,0.0511,0.0182,0.0285,0.33,-0.0466,2.69,-0.0107
9/30/2011,0.056,0.155,0.019,0.184,0,0.124,0.178,0.0122,0.0123,-0.0105,-0.47,-0.022,-1.53,-0.0177
10/14/2011,-0.067,-0.154,-0.051,-0.075,-0.02,-0.126,-0.075,-0.0579,-0.0495,-0.027,-0.415,0.0283,-2.72,-0.0098
10/21/2011,-0.143,-0.135,-0.01,-0.156,-0.01,-0.223,-0.163,-0.005,-0.0015,-0.0128,0.865,0.0037,0.39,-0.0063
10/28/2011,0.077,-0.007,0.017,0.03,0.06,0.114,0.046,-0.0371,-0.028,-0.0176,0.32,0.0179,-0.71,-0.0138
11/4/2011,-0.082,-0.045,-0.034,-0.124,-0.01,-0.066,-0.067,0.0309,0.0353,0.0089,-2.49,-0.0255,-3.32,-0.0073
11/11/2011,0.291,0.199,0.051,0.186,0.05,0.379,0.228,0.0132,0.0066,-0.0009,0.94,0.0059,1.43,-0.0029
11/18/2011,0.023,0.21,0.026,-0.03,0.1,-0.066,0.012,0.0307,0.0253,0.027,0.275,-0.0169,2.51,-0.0111
11/25/2011,0.022,0.21,0.027,0.085,-0.07,-0.079,0.011,0.0287,0.0286,0.0354,-0.835,-0.0199,1.41,0.0106
12/2/2011,-0.055,0.183,-0.073,-0.01,0.02,-0.287,0.016,-0.0414,-0.0078,-0.0103,-0.51,0.0245,-1.62,-0.0004
12/9/2011,0.009,-0.087,0.016,0.022,0.14,0.136,0.063,0.0015,0.0024,-0.0071,0.425,0.0016,0.11,-0.0037
12/16/2011,0.132,0.164,0.054,0.03,-0.03,0.006,0.077,0.0208,0.0318,0.01,-0.13,-0.018,0.57,0.0026
12/23/2011,0.087,0.089,0.045,0.174,-0.01,0.309,0.195,-0.018,-0.0009,-0.0058,-0.295,0.0181,-0.89,-0.0053
12/30/2011,-0.006,-0.011,-0.002,-0.172,-0.01,-0.104,-0.133,-0.0043,0.0082,0.007,1.17,-0.0016,2.24,-0.0023
1/6/2012,0.058,0.033,-0.01,0.16,0.05,0.096,0.068,-0.0004,0.0224,0.008,0.145,-0.0086,0.89,0.0013
1/13/2012,0.001,-0.096,0.01,-0.01,0,-0.025,0.039,-0.012,0.0013,0.0099,-0.155,0.0063,0.51,-0.0006
1/20/2012,0.059,-0.009,0.04,0.122,-0.01,0.083,0.038,-0.0189,-0.0293,-0.028,-0.12,0.0108,-2.34,0.0006
2/3/2012,-0.157,-0.101,-0.038,-0.128,0.02,-0.173,-0.123,-0.0138,0.0056,-0.0088,0.16,0.0083,-0.41,0.0035
2/10/2012,-0.136,0.124,0.019,-0.107,-0.04,-0.109,-0.082,0.0088,-0.0071,0.0063,-1.07,-0.0078,-1.2,-0.0012
2/17/2012,0.044,-0.165,-0.004,-0.045,-0.09,-0.003,-0.033,0.0002,0.0099,-0.0035,-1.905,0.0034,-3.28,-0.0012
2/24/2012,-0.038,-0.052,0.035,-0.01,-0.05,0.004,0.014,0.0079,-0.0246,-0.0011,-1.45,-0.0062,-2.4,0.0012
3/2/2012,0.146,-0.01,-0.019,0.046,-0.02,0.075,0.047,-0.0021,0.026,0.0059,-0.205,0.0101,0.17,-0.0119
3/9/2012,-0.06,-0.031,0.006,-0.047,-0.04,0.078,0.038,0.0152,0.0074,0.0161,-0.625,-0.0005,0.36,0.008
3/16/2012,-0.011,0.068,-0.001,-0.045,0.02,0.028,-0.074,-0.0021,-0.0059,-0.0178,-0.98,-0.001,-3,0.0015
3/23/2012,-0.303,-0.247,-0.059,-0.295,0,-0.258,-0.24,0.0136,-0.0089,-0.0025,1.155,-0.007,1.65,0.0039
3/30/2012,0.156,0.085,0.013,0.037,-0.01,0.181,0.032,0.0128,-0.0073,-0.0139,-0.42,-0.0007,-1.8,0.0135
4/6/2012,0.08,0.171,0.041,0.053,0.01,0.079,0.086,0.0137,0.0262,0.0183,1.33,0.0028,2.49,0.0053
4/13/2012,0.094,0.112,0.016,0.025,-0.02,0.118,-0.019,-0.0075,0.002,0.0046,0.645,-0.0022,1.41,0.0042
4/20/2012,0.049,0.064,0.021,0.032,-0.03,-0.056,0.071,-0.0016,-0.0149,-0.0272,-0.585,0.0069,-3.12,-0.0077
4/27/2012,-0.149,-0.008,-0.001,0,-0.01,0.008,-0.085,-0.0096,-0.0065,-0.0138,1.31,0.0124,1.02,-0.0079
5/4/2012,0.029,0.18,0.025,-0.013,0,-0.004,-0.067,0.0278,0.0156,0.0118,0.49,-0.0149,1.74,-0.0108
5/11/2012,0.135,0.115,-0.002,0.039,0.01,0.119,0.055,0.0134,0.0106,0.0077,-0.187,-0.0045,0.41,-0.0014
5/18/2012,0.007,0.11,0.01,0.032,0.02,0.045,-0.001,0.0168,0.0111,0.0246,0.964,-0.0204,3.49,-0.0164
5/25/2012,0.099,0.151,0.027,0.079,0.09,0.072,0.031,0.0089,0.0263,0.0147,-0.452,-0.0079,0.45,0.0062
6/1/2012,0.083,-0.043,-0.044,-0.01,0.03,0.073,0.097,0.0112,0.0144,0.0325,1.609,-0.0141,5.06,0.0044
6/8/2012,0.244,0.341,0.065,0.259,-0.01,0.237,0.17,-0.0208,-0.0082,-0.0098,-1.38,0.012,-2.9,-0.0036
6/15/2012,-0.015,-0.358,-0.06,-0.137,0.03,-0.147,-0.129,-0.0096,-0.0004,-0.0194,0.756,0.0003,-0.34,0.0057
6/22/2012,0.025,0.001,0.023,0.047,-0.06,-0.014,0.066,0.0063,0.0169,0.0138,-1.483,-0.0042,-1.25,0.0068
6/29/2012,-0.013,-0.004,0.041,-0.105,0,-0.045,-0.075,-0.0191,-0.0114,-0.0116,0.678,0.0092,0.08,-0.0052
7/6/2012,-0.053,-0.008,0.003,-0.034,0.04,-0.003,0.014,0.005,0.0382,0.0212,0.257,-0.0028,2.09,0.0003
7/13/2012,0.112,0.115,0.05,0.099,0.04,0.268,0.045,-0.0046,0.0019,-0.0089,0.465,0.006,-0.07,-0.0051
7/20/2012,0.045,0.129,0.027,0.025,0.01,0.076,0.022,-0.014,0.0095,-0.0034,0.75,0.0014,0.79,-0.014
7/27/2012,0.04,-0.011,0.027,0.017,-0.02,0.097,0.016,-0.0125,-0.0197,-0.0137,0.04,0.0108,-1.15,0.0047
8/3/2012,-0.07,-0.1,0.001,-0.155,0.01,-0.25,-0.181,-0.0093,-0.0083,0.0093,0.005,0.0029,0.77,0.0034
8/10/2012,-0.031,0.059,0.015,-0.036,0,-0.006,-0.024,-0.0001,0.0103,-0.0051,0.345,0.0103,0.15,-0.0087
8/17/2012,-0.006,0.06,-0.047,-0.091,0,0.045,0.006,0.014,-0.0047,-0.0018,-1.275,0.0021,-2.15,0.0096
8/24/2012,-0.144,-0.177,-0.062,-0.155,-0.03,-0.111,-0.138,0.0026,-0.0173,-0.0107,0.933,-0.0031,0.53,0.0093
8/31/2012,0.195,0.165,0.022,0.157,-0.03,0.167,0.156,0.0096,-0.0066,-0.0049,0.27,0.0054,0.07,-0.0022
9/7/2012,0.046,0.142,0.012,0.116,-0.04,0.013,0.054,-0.0093,-0.0236,-0.0125,0.087,0.0079,-0.81,0.0062
9/14/2012,-0.076,-0.061,-0.03,-0.096,-0.06,-0.19,-0.065,-0.0183,-0.0324,-0.0199,-0.153,0.0053,-1.87,0.0062
9/21/2012,-0.299,-0.125,0.016,-0.19,-0.1,-0.193,-0.109,0.0103,0.0141,-1.00E-04,0.227,-0.0064,0.37,0.0098
9/28/2012,0.13,0.123,0.025,0.09,0.03,0.12,0.12,0.0073,0.0121,0.0094,0.243,-0.0068,1.12,0.0092
10/12/2012,0.09,0.216,0.023,0.088,0.05,0.12,0.093,-0.0068,0.0071,0.0069,0.24,-0.0016,0.9,-0.0097
10/19/2012,0.037,0.045,0.025,0.057,-0.06,0.038,0.018,-0.0081,-0.0065,0.0078,-0.903,-0.015,-0.85,-0.0113
10/26/2012,-0.143,-0.163,-0.011,-0.091,-0.01,-0.141,-0.05,-0.0053,0.0082,-0.009,-0.356,-0.0025,-1.29,0.0037
11/2/2012,0.027,-0.117,-0.003,0.053,-0.03,0.059,0.034,0.0012,0.0088,0.0064,-0.766,0.0036,-0.72,0.0076
11/9/2012,-0.003,0.025,-0.011,0.004,-0.03,0.059,0.029,-0.0042,0.0111,0.0126,1.035,-0.006,2.63,-0.0214
11/16/2012,0.123,0.054,0.043,0.078,-0.01,0.086,0.037,0.0051,-0.0026,0.0023,-1.848,-0.0009,-2.84,0.003
11/23/2012,-0.005,0.035,-0.006,0.027,-0.04,0.011,0.012,-0.0106,-0.0233,-0.0137,-1.003,0.0086,-2.7,0.0038
11/30/2012,-0.09,-0.219,-0.011,-0.081,-0.02,-0.097,-0.069,0.0031,-0.0012,0.0014,-0.096,-0.0019,0,-0.0025
12/7/2012,0.069,0.125,0.017,0.057,0.04,0.047,0.075,-0.0058,0.0068,-0.0015,-0.107,0.0053,-0.24,0.0125
12/14/2012,0.026,0.033,0.01,0.017,-0.05,0.078,0.004,-0.008,-0.0269,-0.014,-0.929,0.0009,-2.71,0.0101
12/21/2012,-0.14,-0.2,-0.023,-0.098,0.019,-0.074,-0.108,0.0162,-0.0005,0.0006,-0.134,-0.0079,-0.17,-0.0175
12/28/2012,-0.009,0.073,-0.034,-0.048,-0.025,0.007,0.001,0.0033,-0.0039,-0.0011,-1.629,-0.0038,-2.72,-0.0028
1/4/2013,0.076,0,-0.039,0.056,0.02,0.067,0.035,-0.0103,0.0147,0.0091,-2.327,0.0078,-2.93,0.004
1/11/2013,-0.232,-0.125,-0.033,-0.219,-0.03,-0.159,-0.178,-0.0025,-0.0266,-0.0058,-0.862,0.0009,-1.84,0.0032
1/18/2013,0.014,-0.033,0.023,0.029,0.03,-0.055,-0.018,0.0023,0.0048,0.0255,-0.488,-0.0074,1.41,0.0019
1/25/2013,0.051,0.028,0.064,-0.007,0.036,0.017,0.015,0.0078,-0.0149,0.0055,-0.714,-0.0134,-0.64,0.0117
2/1/2013,-0.049,0.05,0.022,-0.082,0.01,-0.07,-0.007,0.0009,-0.0182,0.008,-1.725,0.0102,-1.96,0.0153
2/8/2013,-0.036,-0.092,-0.021,-0.052,-0.02,-0.004,-0.092,0.0097,0.0283,-0.0095,0.122,-0.0057,-0.7,-0.0044
2/22/2013,0.032,0.105,0.003,0.049,0.018,0.105,0.088,-0.0043,0.0155,0.0326,0.472,-0.0133,3.77,-0.013
3/1/2013,0.062,0.025,0.026,0.042,0.013,0.066,0.031,0.0086,0.0175,0.0053,0.618,-0.0037,1.51,-0.0056
3/8/2013,0.28,0.177,0.073,0.126,-0.08,0.164,0.151,-0.0038,0.0013,0.0113,-2.452,-0.0013,-2.65,-0.0069
3/15/2013,-0.192,-0.23,0.005,-0.217,-0.03,-0.131,-0.145,-0.0202,-0.0087,-0.0206,0.89,0.0094,-0.64,-0.0132
3/22/2013,0.101,-0.047,0.031,0.048,-0.031,0.051,0.019,-0.009,-0.0084,-0.012,0.38,-0.0003,-0.57,0.0076
3/29/2013,0.034,-0.059,0.046,0.036,-0.04,0.001,0.045,0.0039,0.0155,0.0034,0.446,0.0057,1,0.0075
4/5/2013,0.097,0.183,0.025,0.115,-0.05,0.108,-0.023,0.0024,-0.0185,-0.0138,-3.277,-0.001,-6.38,0.0128
4/12/2013,0.124,0.088,0.067,0.189,0.104,0.061,0.168,-0.0139,-0.0119,-0.0014,-0.109,0.0031,-0.2,0.0094
4/19/2013,-0.084,-0.06,-0.094,0.002,0.15,-0.039,0.003,0.0224,0.0052,0.0111,-1.118,-0.0124,-0.71,0.0036
4/26/2013,0.076,0.048,0.042,0.006,-0.005,0.012,0.008,-0.0007,0.0043,-0.0241,1.73,0.0087,0.24,0.0105
5/3/2013,0.018,0.042,-0.012,0.052,0.05,0.053,0.014,-0.0031,-0.0056,-0.009,-1.027,0.0089,-2.5,0.0033
5/10/2013,-0.026,0.072,0.035,-0.09,0.147,-0.024,-0.054,0.0294,0.0133,0.0208,-2.446,-0.0037,-1.7,0.0008
5/17/2013,-0.164,-0.113,-0.131,-0.153,-0.082,-0.138,-0.131,0.0283,0.0151,0.0189,-1.51,-0.018,-0.35,0.0011
5/24/2013,0.007,0.135,-0.081,-0.034,0.12,0.044,-0.038,0.0106,-0.009,0.0063,1.49,-0.0046,2.93,0.0111
5/31/2013,0.02,-0.083,-0.027,-0.076,-0.03,-0.075,-0.008,0.0082,-0.006,-0.0064,0.79,-0.0053,0.55,-0.0137
6/7/2013,-0.055,-0.032,-0.021,-0.122,-0.005,-0.08,-0.149,0.0108,-0.023,-0.0385,3.04,0.0171,0.99,0.003
6/14/2013,-0.054,0.109,0.006,0.007,-0.04,-0.037,-0.028,-0.0171,-0.0147,-0.0173,3.806,0.0049,4.25,0.0132
6/21/2013,-0.002,-0.041,0.031,0.06,-0.05,0.031,-0.043,0.0335,0.0226,0.0289,-3.586,-0.0283,-2.8,-0.0006
6/28/2013,-0.314,-0.355,-0.06,-0.397,-0.12,-0.192,-0.293,0.0088,0.0087,0.018,-1.232,-0.004,-0.09,0.0108
7/5/2013,0.05,0.15,0.032,0.175,0.05,0.043,0.041,0.0066,0.0183,0.0322,-2.01,-0.0055,0.21,0.0044
7/12/2013,-0.043,-0.044,-0.002,-0.194,-0.07,0.018,-0.145,-0.001,-0.0254,-0.0227,1.924,0.0186,0.61,0.0107
7/19/2013,0.146,0.254,0.043,0.122,-0.01,0.142,0.118,-0.0111,-0.0078,-0.0166,-1.106,0.002,-3.27,0.0071
7/26/2013,0.044,0.071,0.012,0.144,-0.12,0.033,0.082,-0.0097,-0.0146,-0.0115,2.08,0.0091,2.05,0.0135
8/2/2013,-0.063,-0.123,0.022,-0.086,0,-0.15,-0.112,0.0356,-0.0006,0.0094,-0.52,-0.0108,0.04,0.0103
8/9/2013,-0.098,-0.022,-0.016,-0.039,0.03,0,-0.044,-0.0282,-0.0067,-0.0227,2.786,0.0096,2.09,0.0042
